"filename", "language", "Python", "Java", "Shell Script", "JSON", "YAML", "comment", "blank", "total"
"c:\Users\vnekt\Desktop\IP_Daleko_and_Nadolgo\ElectroCar\ElectroCar\_V2G_PYTHON\iso15118_l\states\din_spec_states.py", "Python", 0, 0, 0, 0, 0, 1021, 175, 1196
"c:\Users\vnekt\Desktop\IP_Daleko_and_Nadolgo\ElectroCar\ElectroCar\_V2G_PYTHON\iso15118_l\states\iso15118_20_states.py", "Python", 0, 0, 0, 0, 0, 1551, 234, 1785
"c:\Users\vnekt\Desktop\IP_Daleko_and_Nadolgo\ElectroCar\ElectroCar\_V2G_PYTHON\iso15118_l\states\iso15118_2_states.py", "Python", 1337, 0, 0, 0, 0, 1237, 341, 2915
"c:\Users\vnekt\Desktop\IP_Daleko_and_Nadolgo\ElectroCar\ElectroCar\_V2G_PYTHON\iso15118_l\states\sap_states.py", "Python", 82, 0, 0, 0, 0, 51, 28, 161
"c:\Users\vnekt\Desktop\IP_Daleko_and_Nadolgo\ElectroCar\ElectroCar\_V2G_PYTHON\iso15118_l\states\secc_state.py", "Python", 166, 0, 0, 0, 0, 181, 22, 369
"c:\Users\vnekt\Desktop\IP_Daleko_and_Nadolgo\ElectroCar\ElectroCar\_V2G_PYTHON\iso15118_l\transport\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\vnekt\Desktop\IP_Daleko_and_Nadolgo\ElectroCar\ElectroCar\_V2G_PYTHON\iso15118_l\transport\tcp_server.py", "Python", 65, 0, 0, 0, 0, 41, 29, 135
"c:\Users\vnekt\Desktop\IP_Daleko_and_Nadolgo\ElectroCar\ElectroCar\_V2G_PYTHON\iso15118_l\transport\udp_server.py", "Python", 0, 0, 0, 0, 0, 199, 30, 229
"c:\Users\vnekt\Desktop\IP_Daleko_and_Nadolgo\ElectroCar\ElectroCar\_V2G_PYTHON\secc_settings.py", "Python", 58, 0, 0, 0, 0, 19, 20, 97
"Total", "-", 5427, 6, 278, 18, 74, 11308, 3310, 20421
